variant,epsilon,rep,spearman_rho,spearman_p,qini_coef,auuc,n_synth,treat_ratio_synth,conv_rate_synth,is_degenerate
size_50,1.0,8,-0.21376970626992595,2.731803383579162e-197,-22.45234400589743,0.05682862391157059,22405,0.6662352153537157,0.008703414416424905,0
size_50,1.0,9,-0.2546914137983092,5.812703877476087e-282,-37.65085494907356,0.05356798057522221,22403,0.6659822345221622,0.008972012676873633,0
size_50,2.0,0,-0.2464819312480953,1.2025740208742172e-263,-27.34223525815753,0.05658252390439516,22398,0.667023841414412,0.009152602910974195,0
size_50,2.0,1,-0.23874705598953433,5.2364942853267384e-247,-26.774186033603826,0.05628308817557682,22405,0.6669939745592501,0.009060477571970543,0
size_50,2.0,2,-0.22265836129492592,2.741785334784643e-214,-26.987375693695753,0.05656468359210301,22397,0.6668750279055231,0.008840469705764164,0
size_50,2.0,3,-0.21978951517033155,1.0173485173493836e-208,-27.580434318663436,0.05659706140958354,22397,0.6669643255793186,0.008483279010581775,0
size_50,2.0,4,-0.26576310117827395,9.511380209213455e-308,-23.665159212913636,0.05612919369755349,22391,0.6672323701487205,0.008798177839310438,0
size_50,2.0,5,-0.23331457080187595,1.1234997419406067e-235,-23.650168582057972,0.056793337674333304,22392,0.667470525187567,0.009289031797070382,0
size_50,2.0,6,-0.26509796972398714,3.654809726282701e-306,-23.135871744740257,0.055978473011395045,22398,0.6677381909099027,0.009107956067506027,0
size_50,2.0,7,-0.2346176265996037,2.2859641182268515e-238,-29.120154096430667,0.055554871384786264,22400,0.6664285714285715,0.008348214285714285,0
size_50,2.0,8,-0.24610958252131288,7.848170947680039e-263,-20.33341176783273,0.056511076402359986,22406,0.6666071587967509,0.009104704097116844,0
size_50,2.0,9,-0.2615260850240681,9.877309355992254e-298,-32.2140401923391,0.055065547600901925,22402,0.6664583519328632,0.009017052048924203,0
size_50,5.0,0,-0.25395513815484766,2.721620615485681e-280,-19.22742591262181,0.057109850175095636,22399,0.6670387070851377,0.009062904593955087,0
size_50,5.0,1,-0.2382199844473471,6.779776202156253e-246,-22.844877145776195,0.057232481013765345,22402,0.6669940183912151,0.009017052048924203,0
size_50,5.0,2,-0.25211269317900287,3.898282922352062e-276,-25.938838288647787,0.05610914252046092,22397,0.6670536232531142,0.008795820868866365,0
size_50,5.0,3,-0.2267932971190626,1.8639663051415168e-222,-25.50606121486959,0.05665735137666659,22399,0.6670833519353543,0.00883968034287245,0
size_50,5.0,4,-0.2596653309495963,2.163873937428426e-293,-23.9272232076479,0.05650052256169408,22395,0.667113194909578,0.008885912033936147,0
size_50,5.0,5,-0.2537449394349888,8.141686847071376e-280,-24.945235260502784,0.05651406393544308,22395,0.6672471533824514,0.009109176155391828,0
size_50,5.0,6,-0.26810947161845256,0.0,-16.366729492440186,0.0571513099983582,22398,0.6673363693186891,0.008884721850165193,0
size_50,5.0,7,-0.24465370216552595,1.1661415119511788e-259,-30.819161053127687,0.05526004991276368,22400,0.6667857142857143,0.008660714285714285,0
size_50,5.0,8,-0.23380646286974902,1.0877169714700249e-236,-20.556357533112475,0.05732745266761094,22402,0.6668154629050977,0.009017052048924203,0
size_50,5.0,9,-0.27024064158471284,0.0,-19.861328847192624,0.05653773455022319,22401,0.6668452301236552,0.008972813713673497,0
size_50,10.0,0,-0.24716756226292413,3.7704667303310497e-265,-21.669604181991986,0.05690740440217103,22399,0.6670387070851377,0.00901825974373856,0
size_50,10.0,1,-0.25791853488546995,2.386545705923706e-289,-16.65654210173699,0.057346609215014055,22401,0.6670237935806437,0.008972813713673497,0
size_50,10.0,2,-0.2511388148525882,5.940304445123712e-274,-24.71485984588793,0.056521368287506604,22398,0.667023841414412,0.00892936869363336,0
size_50,10.0,3,-0.23397848600501794,4.80088508854232e-237,-22.544745579069343,0.05672332454204114,22399,0.6670387070851377,0.00883968034287245,0
size_50,10.0,4,-0.26344543158329203,3.021024230446607e-302,-22.364651629652656,0.056522740346976165,22397,0.667098272090012,0.008929767379559762,0
size_50,10.0,5,-0.23128012630404787,1.6574471469833951e-231,-24.08444659509587,0.05705621038105994,22397,0.667098272090012,0.009063713890253159,0
size_50,10.0,6,-0.2761638885419919,0.0,-13.09438171855976,0.05756993485505614,22399,0.6672172864860039,0.008973614893522032,0
size_50,10.0,7,-0.22756194669896168,5.417942299282485e-224,-29.793043928270606,0.05604081027022025,22400,0.666875,0.008883928571428572,0
size_50,10.0,8,-0.24586173788585974,2.7305789868242934e-262,-29.199647591969665,0.05596740401476145,22401,0.6669345118521495,0.00901745457792063,0
size_50,10.0,9,-0.2687990567359047,0.0,-21.026939514492994,0.05683433658093,22400,0.6669196428571429,0.008973214285714286,0
