variant,epsilon,rep,spearman_rho,qini_coef,is_degenerate
imbalance_10,inf,8,0.20623787318865827,15.562413666677344,0
imbalance_10,inf,9,0.20437881925449775,8.29223912776672,0
imbalance_35,0.1,0,0.2604753416726943,20.11935906766655,0
imbalance_35,0.1,1,0.32092339652623464,36.25717656127017,0
imbalance_35,0.1,2,0.17083360942693823,8.52595413223446,0
imbalance_35,0.1,3,0.21103460455660875,31.131862986134365,0
imbalance_35,0.1,4,0.20380292515207574,15.287666735199196,0
imbalance_35,0.1,5,0.1335590367374998,21.07682698313556,0
imbalance_35,0.1,6,0.387379335779085,-5.110491799946658,1
imbalance_35,0.1,7,0.1550791996046358,-41.35447885747243,1
imbalance_35,0.1,8,0.2868542674424079,2.2285946127226453,0
imbalance_35,0.1,9,0.0827962661771316,4.804656664053255,0
imbalance_35,0.5,0,0.30540231738046103,13.507646581962604,0
imbalance_35,0.5,1,0.08590656302329479,-9.458900452548846,0
imbalance_35,0.5,2,0.2581780618137971,17.82052049759261,0
imbalance_35,0.5,3,0.3555295160383826,31.017810364142065,0
imbalance_35,0.5,4,0.3791668386452593,36.59289915017132,0
imbalance_35,0.5,5,0.26424559476198745,20.115756813443454,0
imbalance_35,0.5,6,0.05476006635678607,-15.059786632103282,0
imbalance_35,0.5,7,0.3139347885784154,15.905153146617636,0
imbalance_35,0.5,8,0.2678611257615171,25.99065821658712,0
imbalance_35,0.5,9,0.26154972165410295,19.758120511351308,0
imbalance_35,1.0,0,0.29310314537195636,17.158981518903715,0
imbalance_35,1.0,1,0.08211697696225517,-15.777517024325277,0
imbalance_35,1.0,2,0.256025434221744,7.773214331781105,0
imbalance_35,1.0,3,0.33411682814776406,28.317902062149983,0
imbalance_35,1.0,4,0.3407410072843386,38.007759543276734,0
imbalance_35,1.0,5,0.26560332368276984,19.312960688681073,0
imbalance_35,1.0,6,0.17601552661336461,-10.327756666476375,0
imbalance_35,1.0,7,0.30669820478969817,19.377388506401417,0
imbalance_35,1.0,8,0.23776433955869514,17.290219895419,0
imbalance_35,1.0,9,0.34139139126391654,28.882217700295314,0
imbalance_35,2.0,0,0.31361795826544403,29.751261531630462,0
imbalance_35,2.0,1,0.1708704364613902,-18.511384077066907,0
imbalance_35,2.0,2,0.29716787629365693,27.244449065391905,0
imbalance_35,2.0,3,0.3327659230613069,31.229574131937284,0
imbalance_35,2.0,4,0.3260588835732055,28.35801466386397,0
imbalance_35,2.0,5,0.3258092783148981,31.419855706578915,0
imbalance_35,2.0,6,0.28537994528209926,24.240750657247304,0
imbalance_35,2.0,7,0.30752157217215115,22.336452733311944,0
